1001071		Africa	As-Sudan	Al-Wasta	Al-Ba$15hr al-Abya$15d					Africa As-Sudan Al-Wasta Al-Ba$15hr al-Abya$15d
1001085		Africa	As-Sudan	Al-Wasta	Al-Jazirah					Africa As-Sudan Al-Wasta Al-Jazirah
1001098		Africa	As-Sudan	Al-Wasta	An-Nil al-Azraq					Africa As-Sudan Al-Wasta An-Nil al-Azraq
1001097		Africa	As-Sudan	Ash-Shamaliyah	An-Nil					Africa As-Sudan Ash-Shamaliyah An-Nil
1001112		Africa	As-Sudan	Ash-Shamaliyah	Ash-Shamaliyah					Africa As-Sudan Ash-Shamaliyah Ash-Shamaliyah
1001069		Africa	As-Sudan	Ash-Shariqyah	Al-Ba$15hr al-A$15hmar					Africa As-Sudan Ash-Shariqyah Al-Ba$15hr al-A$15hmar
1001347		Africa	As-Sudan	Ash-Shariqyah	Kassala					Africa As-Sudan Ash-Shariqyah Kassala
1001212		Africa	As-Sudan	Darfur	Darfur					Africa As-Sudan Darfur Darfur
1001213		Africa	As-Sudan	Darfur	Darfur ash-Shamaliyah					Africa As-Sudan Darfur Darfur ash-Shamaliyah
1001367		Africa	As-Sudan	Kurdufan	Kurdufan al-Janubiyah					Africa As-Sudan Kurdufan Kurdufan al-Janubiyah
1001368		Africa	As-Sudan	Kurdufan	Kurdufan ash-Shamaliyah					Africa As-Sudan Kurdufan Kurdufan ash-Shamaliyah
1006546		Africa	Cabo Verde	Barlavento	Boa Vista					Africa Cabo Verde Barlavento Boa Vista
1008921		Africa	Cabo Verde	Barlavento	Sal					Africa Cabo Verde Barlavento Sal
1008855		Africa	Cabo Verde	Barlavento	São Vicente					Africa Cabo Verde Barlavento São Vicente
1008852		Africa	Cabo Verde	Barlavento	São Nicolau					Africa Cabo Verde Barlavento São Nicolau
1006597		Africa	Cabo Verde	Sotavento	Brava					Africa Cabo Verde Sotavento Brava
1007985		Africa	Cabo Verde	Sotavento	Maio					Africa Cabo Verde Sotavento Maio
1007114		Africa	Cabo Verde	Sotavento	Fogo					Africa Cabo Verde Sotavento Fogo
